ID,sentences,label
1818,"Hammill was ""K"", Evans was ""Brain"", Ellis was ""Fury"" and Potter was ""Mozart"".",person
1819,"McLaughlin's hometown is Belmond, Iowa.",place
1820,He was a devoted protector of the Georgian language and culture from Russification.,idea
1821,I give him the slip.,idea
1822,He’s taller than I am!,idea
1823,We have meant well.,idea
1824,O let us be joyful!,idea
1825,The college also has a dedicated building for its Landscape and Horticulture Technology Department.,place
1826,The driver was arrested at the scene.,person
1827,It has an extensive collection railroad rolling stock and artifacts.,thing
1828,She later started a career in beach volleyball.,idea
1829,"Kulawit, part of the Municipality of Atimonan to the west.",place
1830,The town serves as the cultural centre of the Hungarian Slovenes.,place
1831,Local sport and weather reports also aired on an sporadic basis.,idea
1832,He crosses the river and approaches Mephisto's castle.,place
1833,This was the last fight on Henderson's Strikeforce contract.,person
1834,"They do not respond rapidly to glucose, exhibiting impaired glucose tolerance.",idea
1835,"The Japanese edition includes two bonus tracks: ""Over My Shoulder"" and ""Titanic"".",thing
1836,"The title comes from the first track, performed by Baker Knight and the Knightmares.",thing
1837,Dye lasers were the first laser sources used in laser guide star applications.,thing
1838,His Catholic perspective was integral to his philosophy.,idea
1839,Such arrangements must be worked out beforehand between the employer and employee.,idea
1840,"Governor's office, a felony.",place
1841,The mejorana is traditionally carved out of a single block of wood.,thing
1842,He uses Crown King Sport cricket gear.,thing
1843,I don't think he meant to get so close and he was apologetic.,person
1844,After a brief exile he accepted the amnesty and returned to Hungary.,person
1845,"By this time, Jang's name had become known widely throughout Asia.",person
1846,"Munn was born and raised in Columbia, South Carolina, to Russell and Nadine Munn.",person
1847,The couple vowed to take the subject up in court.,idea
1848,He is the middle child of three; he had two sisters.,person
1849,"Throughout his life, Mack frequently returned to Canada.",place
1850,They subsequently declared that event to be the first science fiction convention.,idea
1851,The name of the band was The Stone Gods.,thing
1852,Picnic baskets are standard equipment at many picnics.,thing
1853,At the time it was the only English-language daily newspaper in Taiwan.,thing
1854,"They identify as two persons, and are recognised as two persons legally and socially.",person
1855,"He is a judge on ""Persian Talent Show"".",person
1856,And I'm not giving that up to be President of the United States.,person
1857,It could either have bumper mounted towing point or frame rail mounted towing point.,thing
1858,"He studied under Claude Bernard, who was also a physiologist.",person
1859,Waltman started his career as an assistant professional Pretoria Country Club.,place
1860,Institutional corruption is not limited to national scale institutions.,idea
1861,In the females the ovipositor is long and slightly curved upwards.,thing
1862,Richards is situated in the Darug traditional Aboriginal country.,place
1863,The new design has a state-of-the-art performing arts center.,thing
1864,"A small businessman, he served for ten years as the Mayor of Cumberland.",person
1865,Riesel also discovered the Riesel numbers as well as developed the Lucas-Lehmer-Riesel test.,person
1866,Strafford retired to Wentworth Castle.,place
1867,Aunt Dahlia's face grew darker.,person
1868,Men in distress are apt to be a nuisance.,idea
1869,Am I really wonderful? asked the Scarecrow.,person
1870,"Listen up everyone, we would like to make an announcement.",idea
1871,"Among the warriors were Bue, Ulf, Karlsevne and Sigvald.",person
1872,The actresses Kristin Scott Thomas and Serena Scott Thomas spent their childhoods in Trent.,person
1873,That book featured an introduction by Alfred Uhry.,person
1874,He attended Simon Gratz High School.,place
1875,He then went on to conduct at the Detroit Symphony Orchestra.,place
1876,No religion can be established as state or mandatory.,idea
1877,No revivals are known to have been staged since the original run.,idea
1878,She is also Jewish.,person
1879,There is a Chinese and Indian takeaway outlet and a fish and chip shop.,place
1880,The resulting insurance payout was the then largest in Australian history.,thing
1881,According to Allmusic dot com.,idea
1882,He died in Shottesbrooke.,place
1883,This commonly happens when the froe encounters a hidden knot in the wood.,thing
1884,Magnus Uggla has recorded several covers.,person
1885,"In the Geometric period, the tripods were fastened to the cauldrons they supported.",thing
1886,There is currently no rail link planned to Saudi Arabia.,place
1887,The urine then undergoes purification and a chemical treatment.,thing
1888,Divorce between pairs occurs after breeding seasons that end in failure.,idea
1889,"The song which accompanies the ""Gish"" menu is a studio recording of ""Pale Scales"".",thing
1890,Goodman and Zeitgeist also produced Blackmoor adventure modules.,thing
1891,He removes Kaufmann's monocle and turns it on him.,thing
1892,Zermatt and Saas-Fee have both summer ski areas.,place
1893,"Three military variants were produced: military transport, anti-submarine and anti-ship.",thing
1894,Colombo was born in Legnano.,place
1895,He is praised by Burns in one of his poems.,person
1896,"After the purchase, the parcel became an extension of nearby Griffith Park.",place
1897,Boro Creek is a tributary of the Shoalhaven River.,place
1898,Lviv is the Polish birthplace of other sports.,place
1899,The tenant's right is merely superficial.,idea
1900,A historical basis for German unity was not enough.,idea
1901,We are plugging past a twenty-foot river bank.,place
1902,The body of the church is enlightened by two ranges of windows.,place
1903,The Todd River mostly seeps away near the Hale River in the Simpson Desert.,place
1904,And created by zaid wani.,person
1905,His children included,person
1906,Lewiston moved to Augusta after twelve games.,person
1907,Providing local and express service between Mixco and Guatemala city.,place
1908,Meredith put it best.,person
1909,She is the first horse to win both these honors in the same year.,thing
1910,Vietnam has military cooperation with India and bought many of its new weapons.,place
1911,The power of clemency belongs to the President of the United States.,idea
1912,"When the wheel is raised, the rifle can be traversed by hand.",thing
1913,Dhahran schools employ an American-based curriculum.,idea
1914,"The band also played ""Reach Down"" on the latter occasion.",thing
1915,Featuring a slate mansard roof.,thing
1916,It would appear to me that the two ideas aren't mutually exclusive.,idea
1917,Let us begin at the beginning,idea
1918,He mumbled obliviously as the battle raged around him.,idea
1919,Arles's open-air street market is a major market in the region.,place
1920,"The more overt manipulation of coloured lighting, however, offers a test case.",idea
1921,Such outings are often viewed as mandatory in the work environment.,idea
1922,"She denied touching a gun, shouting, or threatening anyone.",idea
1923,"To the southwest is the smaller crater Stoletov, and to the southeast lies Fowler.",place
1924,This is called determining the electronic structure of the molecule.,idea
1925,The Twofish team made a similar statement about its cipher.,person
1926,Vire is part of the canton of Vire.,place
1927,He enjoyed smoking a cigar while watching the sun set over the flat desert.,thing
1928,An angel provides her with a potion.,thing
1929,The lake takes its name from the river.,place
1930,"Other season highlights included three titles, at Memphis, Dubai and Basel.",thing
1931,Pandas rely primarily on spatial memory rather than visual memory.,idea
1932,"Their father was strict with the brothers, particularly Ludwig, the heir to the throne.",person
1933,"Basic as it was, it did help rhetoric regain some currency in avant-garde circles.",idea
1934,Rasburicase is a tetrameric protein with identical subunits.,thing
1935,Wine wears neither linen nor woolen breeches.,idea
1936,"At most places, the river was too deep to cross.",place
1937,Jackson is the largest municipality by area in Ocean County.,place
1938,The Iraq war alone is not enough.,idea
1939,Michelangelo is a variant of the already endemic Stoned virus.,thing
1940,In this version the attacker places his legs inside of the victim's legs.,thing
1941,The constituency covers the northern part of the London Borough of Hackney.,place
1942,"In doing so, they were both severely wounded.",idea
1943,"His grandmother, a former slave, gave Williams his grandfather's rifle.",thing
1944,The mayor of Beach City at the time was Jimmy McClellan.,person
1945,"Under these conditions a hot water suit is a matter of survival, not comfort.",thing
1946,"A lamina is rarely, if ever, removed because the lamina itself is diseased.",thing
1947,Allen is a member of the Homeland Security Advisory Council.,person
1948,"Pell oversaw the meeting and adjourned the Congress ""sine die"".",person
1949,"The term ""normal"" refers to projective normality, not normal schemes.",idea
1950,Conduct of Air-to-Air and Air-to-Ground operations in support of the Marine rifleman.,idea
1951,He was an ardent but independent supporter of Herbert Spencer.,person
1952,"The bond between man and the soil is, seemingly, restored with Noah.",idea
1953,That's why it is necessary for us to diligently examine all our good desires.,idea
1954,The Roughnecks are coached by Chris Williams.,person
1955,"The flowers are imperfect, meaning that no one flower has both sex parts.",idea
1956,An engraving of the Fifth Commandment on the rock gives it its name.,thing
1957,"Kayserispor fans retaliated by marching onto the Sivasspor supporters with stones, sticks and knives.",idea
1958,Land was granted to Colonel Stone for use as a mill site.,place
1959,Margaret Curtis lost to May Hezlet while Harriot Curtis lost to Elinor Neville.,person
1960,Fitzgerald was mortally wounded in this action.,person
1961,"It is constructed to be extremely modular, including barrel change to switch between calibers.",thing
1962,The organization is based in Carson City.,place
1963,The Old Ones spawned five generations of Slann.,idea
1964,The original town of Hamilton is located east of its current location.,place
1965,When they were cast only Radcliffe had previously acted in a film.,person
1966,Patients are usually no longer infectious once the rash has appeared.,idea
1967,Fieseler was born in Glesch.,person
1968,Rules do not greatly differ from those found in regular five-a-side football.,idea
1969,They develop apprenticeship programs to foster the teaching of traditional arts by recognized masters.,idea
1970,"Center field was fairly close, with the railroad tracks running behind it.",place
1971,The regularity requirements of the theorem can be relaxed.,idea
1972,It is widely cultivated as an ornamental groundcover.,thing
1973,The city sits along the Eastern Continental Divide.,place
1974,"While construction was still ongoing, multiple charges of land fraud arose.",idea
1975,"Information literacy efforts are underway on individual, local, and regional bases.",idea
1976,For approximately fifteen years the Humber Trails Conservation Area was a manicured Park.,place
1977,Everything that man does is for monetary gain.,idea
1978,That was terrible.,idea
1979,"Ford was born in East Chicago, Indiana, and raised in Whiting, Indiana.",person
1980,Have you seen Rachael recently.,person
1981,This report gives insights into the best practices for creating algorithms.,idea
1982,Could you translate for me?,not applicable
1983,The exit is the bottom floor.,place
1984,"You might describe it as a passing coolness, but no more.",idea
1985,"Leopold, however, due to his ""haughty"" character, was not welcome in aristocratic circles.",person
1986,"To apply the law, the government differentiates between ""soft"" and ""hard"" drugs.",idea
1987,"A large fire followed, destroying the forward section of the fuselage and the wings.",thing
1988,"One is often not sure which ellipsis mechanisms are involved in a given ""than""-clause.",idea
1989,See your email client to check your emails have been sent correctly,thing
1990,He remained in the Air Force Reserve after retiring from active duty.,person
1991,"A variant name is ""Planters"".",thing
1992,She wrote on it.,thing
1993,"The village is about north-west of Newcastle, near Bolam West Houses.",place
1994,At that time the station broadcast hourly news bulletins and easy listening music.,thing
1995,"There are some additional irregularities in the present indicative, which are listed below.",idea
1996,"At this time, Charles Henrotin was elected the chairman and president.",person
1997,They held Catholic beliefs but were consistently anti-Roman.,idea
1998,My feelings are not puffed about with every attempt to move them.,idea
1999,There are three pubs and a Social Club.,place
2000,A housing estate now occupies that spot.,place
2001,He studied at Harvard University.,place
2002,He resigned his seat when he was appointed Chief Justice.,person
2003,Little is known of Cleombrotus' early life.,person
2004,He was the last reigning King of England to die in battle.,person
2005,"Dipset, come out and play!",person
2006,"Unfortunately for Willys, strikes were common postwar.",idea
2007,"She did her A-levels at Liverpool College, Mossley Hill, Liverpool.",place
2008,Both sides later claimed victory.,idea
2009,Sonny Landreth has published the following albums so far.,person
2010,"These companies, in addition to the characters needed for Japanese, also offered emojis for their devices.",thing
2011,It’s more likely to resume publication for animation works that have been sold on the market before.,idea
2012,He parked the car outside. Only its hood is stolen.,thing
2013,They were inclined to believe that she was a boy.,idea
2014,This opinion may be my informant's private speculation.,idea
2015,This episode took place several years ago.,idea
2016,My boots began to squelch and pipe along the restaurant floors.,thing
2017,The motorcycle made loud noise.,thing
2018,"It arrived just a few days after I ordered it, and came with a complementary USB extension cable.",thing
2019,Here is a table of some significant or representative genomes.,thing
2020,"They called it ""the most obvious and best-executed"" of Ministry's songs about violent psychosis.",idea
2021,He also held shares in the Lilleshall Company.,thing
2022,"The expansion was prefaced by the purchase of Menlo Worldwide Forwarding, formerly Emery Worldwide.",idea
2023,The name is a portmanteau of robot and interior.,idea
2024,The following towns and municipalities border Herrenberg.,place
2025,"Bigelow, Aromatherapy and Travel Body Care.",thing
2026,It was McKean's first published work in comics.,thing
2027,By the age of five he was an orphan.,person
2028,I've been spending two nights here with friends.,place
2029,District Shahdol is very rich in its mineral resources.,place
2030,"Acts of Parliament, administrative prime-ministers cannot.",idea
2031,"Eastern Equatoria, like other states in South Sudan, was sub-divided into counties.",place
2032,Gallieni was falsely suspected of wanting to launch a military takeover of the government.,person
2033,"He did, however, start against Bayern Munich in the Champions League final.",person
2034,"""The Bleeding"" is also Cannibal Corpse's most successful album to date.",thing
2035,"Juliet Landau, excited to return to ""Angel"", says, ""this is a particularly fun episode...",person
2036,"Mosheim shares a post office with nearby community, Midway.",place
2037,A number of syntactic criteria for unaccusativity have also been identified.,idea
2038,The Republican Party predominantly controls politics at the local level in Ozark County.,idea
2039,The rest of the cast comprised non-professional actors.,idea
2040,Presently Cox and Kings Pvt.,thing
2041,He was the eldest of three children.,person
2042,"In some areas it can be crossed on foot, or by short swims.",place
2043,His family moved back to Sri Lanka when Maya was six months old.,place
2044,Bodey's exact first name is uncertain.,person
2045,Witches voiced by Tress MacNeille and Jill Talley.,person
2046,Almost all actively visited areas in the path of totality had perfect weather.,idea
2047,"Also, at many places it was hard to leave the water.",place
2048,Endomysium is the deepest and smallest component of muscle connective tissue.,thing
2049,"Deliveries, sales, service, and front office are all separate departments in most locations.",idea
2050,It has been used in several contexts throughout the history of Indian music.,idea
2051,"In the presence of water, sulfur dioxide is able to decolorize substances.",idea
2052,Emperor Taizong ordered his army to attack the reinforcements.,person
2053,The tunnel was closed and filled-in after the collapse.,thing
2054,Your feet start to move before you know it.,idea
2055,Amongst the items they knitted was the famous liberty cap or Phrygian cap.,thing
2056,Everything that we needed.,thing
2057,The band recorded and released several singles over time.,thing
2058,It is made up of two disconnected sections.,thing
2059,His assignments included Deputy Chief of Staff for Logistics.,idea
2060,The story opens on the planet Rhyonon.,place
2061,There were reports of minor injuries but no fatalities.,idea
2062,"Motels, stores, resorts and campgrounds soon followed and the community continues to prosper today.",place
2063,Credit history usually stays within one country.,idea
2064,John Stringfellow's steam engine was shown there.,thing
2065,"Common symptoms in children are fever, abdominal pain, and diarrhea, which is often bloody.",idea
2066,"Deathstars also remixed the track ""Vyperpunk"" on Dope Stars Inc.'s ""Neuromance"" album.",thing
2067,Doctor Capildeo was the youngest child of the prominent Capildeo family.,person
2068,"As a result, Soviet authority was re-established deep inside the German-held territories.",idea
2069,The firm was renamed Sir John Burnet and Partners.,thing
2070,"The latter group, including Joseph Sturge and many others, publicly campaigned throughout Britain.",person
2071,Montagnola belongs to the parish of S. Abbondio at Gentilino.,place
2072,He also became a switch-hitter.,person
2073,The somewhat smaller crater Tisserand lies just to the east.,place
2074,"The face down pile is known as the ""stock pile"".",thing
2075,We were trashing about.,idea
2076,Other minor alterations were gazetted at intervals over the years.,idea
2077,"Funakoshi was the formal head of the organization, with Nakayama appointed as Chief Instructor.",person
2078,"Wall also won seven caps for England, scoring two goals.",person
2079,Shorenstien Properties plans to undertake significant improvements following ExxonMobil's departure.,idea
2080,"Castonguay is a long-serving advocate of greater privatization, user fees and private insurance.",person
2081,"Religion is another theme, particularly Methodism.",idea
2082,It is immediately adjacent to the Albert and Walter Taylor Bridges.,place
2083,But most were too trivial.,idea
2084,Vilash is the largest river of the district.,place
2085,His personal papers are largely kept at the University of Edinburgh library.,place
2086,"After he graduated, he served with the United States Army in the Vietnam War.",person
2087,Dakar has one of the largest deep-water seaports along the West African coast.,place
2088,What is your stance on this?,idea
2089,Add some coriander.,thing
2090,This project was undertaken at the invitation of the owners.,idea
2091,"The company is based in Tournai, Belgium.",place
2092,Other support is available for PhD degrees.,idea
2093,"Significant course change, rather than a modest alteration, is prudent.",idea
2094,Kacy attended grade schools in New York and New Jersey.,person
2095,The site is by the river which forms the frontier with China.,place
2096,One end is connected to the vessel whose pressure is being measured.,thing
2097,The style matches the new building with the old Harrison Building.,place
2098,Duchesse satin is valued for its richness and heavy weight.,thing
2099,This was the first reported use of naval mines in Europe.,idea
2100,I enjoyed that.,not applicable
2101,He brings back one apple and the lamp.,thing
2102,Four girls in black tops are weaving leaves in a building.,thing
2103,a boy holds two sparklers.,thing
2104,a whole lot of people are on camels.,thing
2105,Many people are hiking on a mountain.,place
2106,Band and Kamin claimed the two were hired musicians and not entitled to royalties.,person
2107,Left bank entrance has a two-lane escalator.,place
2108,As a strategic reserve it was used during the drive for the English Channel.,thing
2109,Tramunti's headquarters was The Stage Delicatessen in Manhattan.,place
2110,These boats can be hired to take visitors around other parts of the lake.,thing
2111,"They were named for Prince Albert, the consort of the British Queen Victoria.",person
2112,"The gum was packaged in a red, white, and blue color scheme.",thing
2113,Plans are being developed to provide hiking and multi-use trails within Stafford.,place
2114,Director often serves as the counterpart of National Security Advisor of the United States.,idea
2115,It provides classes from kindergarten to Leaving Certificate.,thing
2116,There are also populations of nationally rare and scarce invertebrates.,thing
2117,There is an organization in Greece that aims to prevent suicide.,idea
2118,Puppies will have milky bluish-gold to amber eyes until a few months old.,thing
2119,She however failed to be elected.,person
2120,"In both cases, however, the intent must also be considered.",idea
2121,There is also a working fish farm and a small smokehouse producing smoked foods.,thing
2122,"Legge and, later, Lyndhurst Giblin took over the survey.",person
2123,This ended Hungarian efforts to gain security in post-communist Europe.,idea
2124,I dare say they will report progress tomorrow morning.,idea
2125,He later married Mary Wills who gave birth to two children: Jesse and Jane.,person
2126,"He is most known for his hoop dance, The Hoop of Life.",person
2127,Sutton Cheney itself has two old coaching inns- the Royal Arms and the Hercules.,place
2128,"This case is the groundwork of freedom of the press, not its legal precedent.",idea
2129,"The route continues north into Chester Township, Morris County.",place
2130,Saint Andrew's offers a full course liberal arts curriculum.,place
2131,"Flag football, basketball, softball, and baseball are available for elementary students to participate in.",idea
2132,They didn't see the finished product till the night of the big show.,thing
2133,"Target organs include the kidneys, liver, lungs and brain.",thing
2134,The area has undergone considerable Post-glacial rebound.,idea
2135,"At the time, Winnipeg elected ten members by a single transferable ballot.",place
2136,"Saumarez tersely replied Whoever doubted it, sir?",person
2137,The Ajuran clan is known for establishing the Ajuran Sultanate.,idea
2138,He later played for various teams in Latin America.,person
2139,This book also analyses in depth the philosophy of Indian life.,idea
2140,The proposed merger commission succeeded in the city but failed in the township.,idea
2141,Half of the lots are leased from other property owners such as churches.,place
2142,The border was routinely crossed by the armed forces of both countries.,place
2143,"Assistant principals are Justin Conn, Jaime Garman, and Reno Medina.",person
2144,"Joe Mercer, a left-half, first played for Ellesmere Port Town.",person
2145,After release both the demo and full version were supported.,thing
2146,Singh Award for Excellence in Indian Foreign Service.,idea
2147,Their song is composer and musician Rainer Jancis and animator and musician Kaspar Jancis.,person
2148,It requires only two hours to reach its summit from the sitio of Wawa.,place
2149,He was buried at Calvary Cemetery in Dayton.,place
2150,It covers the villages of Abney and Abney Grange.,place
2151,He was released from custody five days later and charges were dismissed.,idea
2152,"In a world populated by strippers, comics and costume salesman.",idea
2153,The Village of Bloomington is located within the town.,place
2154,He then follows her on his bike and even barges into her dance class.,thing
2155,"They then appear with their infant son, whom they have named after Kermit.",person
2156,This Act removed the Colorado lands from the New Mexico Territory.,place
2157,"Menenius was also a character in William Shakespeare's ""Coriolanus"".",person
2158,This instrument stands tall.,thing
2159,Carpenter married twice.,person
2160,Willison has two side platforms.,place
2161,It is known for the rock formation near the town.,place
2162,Kroll was accused of spying on Brazilian government officials.,person
2163,It is owned by CenterPoint Energy.,thing
2164,The exercise had to be curtailed when her engines broke down.,thing
2165,Lead was mined and shipped throughout the fledgling country; lead shot was also produced.,thing
2166,His urban settings are jewel-like and full of elaborate allegorical detail.,idea
2167,"“Go and get dressed while I wash up,” he said.",person
2168,Section conferences are also held in all parts of North America.,place
2169,The competition then proceeds like a typical double elimination tournament bracket.,idea
2170,The arguments against were several.,idea
2171,The library is open to the public during regular museum hours.,place
2172,"She lives in Brussels, Belgium.",place
2173,The school has recently finished major construction and renovations.,place
2174,"For geophysical applications, gravity is distinguished from gravitation.",idea
2175,'Whoever controls the territory possesses it.,idea
2176,"Adjectives must agree with the nouns they modify in case, number, and gender.",idea
2177,Bankstown has one of the most ethnically diverse communities in Australia.,place
2178,"Lastly, the third episode, 'Which One Do You Love?",idea
2179,Agriculture centers primarily on rice production and fruits.,idea
2180,"It includes some fifty plates, reproducing selected interesting items from the collection.",thing
2181,The combination of January and Decker forms Jan-deck.,idea
2182,Leave tomorrow till tomorrow.,idea
2183,It contains actions that deny common sense.,idea
2184,The past four Holy Grail Wars have typically occurred every fifty years or so.,idea
2185,"His older brother, Jason Fletcher, is a prominent professional sports agent.",person
2186,"Platinum Rewards are usually premium items, such as plush hats or posters.",thing
2187,"Wray was born in Hull, Yorkshire.",place
2188,The Secretariat is headed by the Director General.,person
2189,Many of the inhabitants have little experience of the world outside the village.,place
2190,"They run concurrent to the northeast, into the main part of town.",place
2191,"Now, it is also a tourist river with rafting, canoeing, and fishing opportunities.",place
2192,Human simulators provide nursing students hands-on training opportunities.,thing
2193,The traditional spelling is still used by many airlines and by most Thais.,idea
2194,The undefeatable titan had been beaten.,idea
2195,Soon after Devlin joined Ray Lewington and Watford.,person
2196,For university entrance he was tutored for a period by Edward Maltby.,person
2197,"He worked as a remixer, for Blondie on their ""Maria"" single"".",person
2198,"In other words, these primates developed the use of primitive technology.",idea
2199,Save a thief from the gallows and he will cut your throat.,idea
2200,At the time of his death Calvino had finished all but the last lecture.,person
2201,Other scams include fake Thai Mikimoto certificates.,thing
2202,Later he was a teacher at bush schools.,place
2203,It admits students based on their scores on the Specialized High Schools Admissions Test.,idea
2204,The bill is white in breeding males.,thing
2205,The resultant government funded organization was the County of Peel Agricultural Society.,place
2206,"To Plant's horror, ""Sea of Love"" became his biggest-selling single.",person
2207,May we walk up to the House?,place
2208,Joanne Roney is the chief executive.,person
2209,"The great mass of the population, however, remained Zoroastrian or Shamanic Polytheists.",idea
2210,One is at the Tokyo Detention House.,place
2211,Change to Win has focused its resources on organizing workers into unions.,idea
2212,"The spacecraft also measured solar flare particles, and cosmic radiation in the interplanetary region.",thing
2213,Printing in Poland was staged for the media by the Soviets.,idea
2214,"He was succeeded by his nephew, the third Viscount.",person
2215,"They can also move their ears independently, giving them excellent hearing.",thing
2216,He has published many literary and critical books.,idea
2217,He stepped down when he became chancellor.,person
2218,Paris also has other national museums that are not part of the association.,place
2219,Their strange rig is because they are bomb ketches.,thing
2220,She was never too tired for that.,idea
2221,"But she laughed, and said there would be no difficulty.",idea
2222,My dermatologist recommended I stop washing my hands with boiling hot water.,person
2223,Somebody must have shut it.,thing
2224,They are a member of the European Green party.,person
2225,These programs focus more on subsistence than fairness.,idea
2226,"Against Urrea's pleadings, all of the Texians were sentenced to death.",person
2227,"The Gait is open every Thursday and Saturday, and caters to the student population.",place
2228,He was also the grandfather of the actress Penne Hackforth-Jones.,person
2229,"Lambert Township bears the name of Francois Lambert, a county official.",place
2230,Flodoard's poetical works are of hardly less historical interest.,idea
2231,The upcoming Slim River Water Theme Park will also be opened soon.,place
2232,The project was funded by grants from English Heritage and the Heritage Lottery Fund.,idea
2233,Water exposure will damage tapes over time.,thing
2234,"""Slightly Magic"" was generally well received in the media.",idea
2235,"He was given the surname Genito, but this somehow became Gemito in orphanage records.",person
2236,He also fought at the relief of Brest and the siege of Morlaix.,place
2237,"The majority of deaths were caused by neoplasms, mainly mammary tumors.",idea
2238,"Long, the wife of United States Senator Russell B.",person
2239,"Construction of the new station involved widening a narrow, high embankment.",thing
2240,Charter boat services are also available.,thing
2241,"In terms of velocity, the system is in equilibrium if velocity is constant.",idea
2242,"It was first shown at the Brussels Show, early that year.",place
2243,The inner court was glassed over and had a richly decorated dining hall.,place
2244,"Apart from his karate training, he also studied judo under Shoko Itokazu.",person
2245,The village public house is the Cholmeley Arms.,place
2246,Consolmagno is a popular speaker as well as a writer of popular science.,person
2247,It is unclear as to why the older signs use an incorrect name.,idea
2248,It was edged with ice.,thing
2249,Keith is a really lovely guy.,person
2250,The Martian was strange-looking: small and squat with gigantic feet.,thing
2251,Trainers is another word for sneakers,thing
2252,Red Helleborine is a very rare plant in Britain.,thing
2253,The mandola is typically played with a plectrum.,thing
2254,"A ""Secret Recipe"" soda.",thing
2255,The social background of metropolitan graduates also narrowed as time went on.,idea
2256,"The price varies, depending on where it's sold.",idea
2257,Uniform bright green above; upper lip and lower surface yellowish or greenish white.,thing
2258,Others who had watched Buchanan in action were equally enthusiastic.,person
2259,"Thus the brigand was seen as a local figure, locally supported, preying on strangers.",person
2260,The piece with the most votes from listeners won.,idea
2261,"'Wassa madda wit you, hat?",thing
2262,The point is resolved before business continues.,idea
2263,The monastery can also be accessed by kai-to ferry from Peng Chau.,place
2264,Experience is the father of wisdom.,idea
2265,Bee's evolution in personality is reflected in her dress.,idea
2266,Christmas Eve is a time of reflection for Christians all over the world.,idea
2267,The county seat is Morgan.,place
2268,Arogno is the perfect starting place for hiking trips on Monte Generoso.,place
2269,"Furthermore, Liaoning chefs have continuously won awards in recent culinary arts competitions in China.",idea
2270,All tracks composed and instruments played by Tom Jenkinson.,person
2271,"Meanwhile, Thomas is pulling two green coaches, still grumbling.",person
2272,Tettenhall Wood is no longer served by a mobile library.,place
2273,Hayes is well known for his trademark bucket caps.,person
2274,"Her mother, Albina, was her coach.",person
2275,"For example, a winery in Hawaii produces pineapple wine.",place
2276,The south-west point of Phillip Island is named after him.,place
2277,The crosslines are weak.,idea
2278,At last he resented her tone.,idea
2279,Active buoys may then be used for precise location.,thing
2280,"I'm a real mixture of Scottish, Welsh, and English.",person
2281,Its name is from the Guarani word for mixture.,idea
2282,This former borough is by far the oldest settlement of East Pennsboro Township.,place
2283,Versions of the song by various artists exist.,idea
2284,She often exerted her influence through bouts of shouting.,idea
2285,"Common species are ""Lampona cylindrata"" and ""Lampona murina"".",thing
2286,Vacant property passed to the Imperial Military; Krutitsy became a military base.,place
2287,The series has since remained popular in syndication around the world.,idea
2288,"The film was written, directed, and narrated by Matt Myers.",person
2289,The school now has just over one hundred pupils.,place
2290,"Twelve years later she was exiled, and in response she committed suicide.",person
2291,The yacht was eventually freed with the help of a local fishing vessel.,thing
2292,"He promotes homeschooling, and specifically unschooling and open source learning.",idea
2293,"When frozen, they become brittle and break when chewed.",thing
2294,Let's just make an album.,thing
2295,The single was the first Screaming Trees release to chart.,thing
2296,The ship has been retired and is pending sale or scrapping.,thing
2297,She then worked at Oklahoma Medical Research Foundation.,place
2298,He was survived by many grandchildren.,person
2299,It had neither position control nor drive systems.,thing
2300,It was about in length internally with masonry walls approximately thick.,thing
2301,"Bruce replaced Max Jennings, who retired.",person
2302,This is called a pneumothorax.,thing
2303,A contingent of the United States Marine Corps was responsible for ground defense.,thing
2304,The combination of felodipine and enalapril was marketed as Lexxel.,thing
2305,Disraeli praised him.,person
2306,Do you want to end up starving?,idea
2307,The exact taxonomic limits of the subfamily are not yet known.,idea
2308,It is an upscale bedroom community located south of Fargo.,place
2309,"The use of dieldrin is restricted in India, Mauritius, Togo, and the United Kingdom.",idea
2310,Exhibits include Meucci's models and drawing and pictures relating to his life.,thing
2311,"After the meat dries, it can be consumed.",thing
2312,There are two andesite dykes intruded across Gladstone Street.,place
2313,Bishop Wright and other conference delegates left the meeting and resumed the session elsewhere.,person
2314,Dumas is served by the Dumas School District.,place
2315,"Carmel is described as an ""overly protective"" and ""outspoken"" mother.",person
2316,Underneath this layer was fine dense sand.,thing
2317,He also had a brief stint with the British progressive rock band Greenslade.,thing
2318,The stairs are built with carved stones.,thing
2319,There are also pictures from every Trapper championship and trophies.,thing
2320,"Byrnes was opposed by the Ku Klux Klan, which preferred Blease.",person
2321,"""Not a bit,"" answered Skye.",person
2322,He refused his allegiance to the government of King Louis Philippe.,person
2323,We didn't even have badges.,thing
2324,It followed in the cycle some forty newly composed cantatas.,thing
2325,Longitudinal cables hold up the roof and transverse cables hold it down.,thing
2326,"Visible nature is all plasticity and indifference,.",idea
2327,The latter instrument was made for serious playing.,thing
2328,Cities proper and their boundaries and population data may not include suburbs.,idea
2329,Whalley took up fell running as a result.,person
2330,The Jummu'ah or Friday prayer is led occasionally by some high school students.,idea
2331,Only one of the victims was visually identifiable.,idea
2332,Lotito indicated his desire to appeal the decision.,person
2333,Uniramians have strictly uniramous appendages.,idea
2334,"This broad-spectrum antibiotic soluble in water, is very similar in action to neomycin.",thing
2335,General administration consists of the superintendent and treasurer.,idea
2336,"The film features George Segal as Albert, the illegitimate father of Mikey.",person
2337,"When Lynch became Taoiseach, Flanagan was promoted to the Cabinet as Minister for Health.",person
